season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4257610,Jake Hescock,TE,UCF,American Athletic,1,-2.438,-2.438,,,,,-2.438,,-2.438,-2.438,,,,,-2.438,
2021,4372715,Robby Rowell,QB,California,Pac-12,1,-1.676,-1.676,,,,,,-1.676,-1.676,-1.676,,,,,,-1.676
2021,4428538,Tyetus Smith-Lindsey,RB,UAB,Conference USA,1,-1.643,,-1.643,,,-1.643,,-1.643,-1.643,,-1.643,,,-1.643,,-1.643
2021,4692557,Dee Beckwith,RB,Tennessee,SEC,1,-1.514,,-1.514,,,,,-1.514,-1.514,,-1.514,,,,,-1.514
2021,4682828,Gabriel Watson,RB,Texas,Big 12,2,-1.418,,-1.418,,,-1.231,,-1.418,-2.836,,-2.836,,,-1.231,,-2.836
2021,4613105,Miles Davis,RB,BYU,FBS Independents,1,-1.263,,-1.263,-1.263,,,-1.263,,-1.263,,-1.263,-1.263,,,-1.263,
2021,4685123,Tank Smith,RB,Penn State,Big Ten,4,-1.202,,-1.202,,-0.503,-0.583,0.062,-1.623,-4.807,,-4.807,,-1.005,-0.583,0.062,-4.869
2021,4432220,Tyrese Grant,WR,Wyoming,Mountain West,1,-1.161,,-1.161,-1.161,,,-1.161,,-1.161,,-1.161,-1.161,,,-1.161,
2021,4696561,Jacob Conover,QB,BYU,FBS Independents,1,-1.114,-1.114,,-1.114,,,-1.114,,-1.114,-1.114,,-1.114,,,-1.114,
2021,4428858,Cam Wiley,RB,Minnesota,Big Ten,6,-1.096,,-1.096,-1.269,-1.005,-0.757,-1.269,-0.922,-6.573,,-6.573,-3.807,-2.009,-0.757,-3.807,-2.766
2021,4372000,John Stephen Jones,QB,Arkansas,SEC,1,-1.041,-1.041,,-1.041,,,-1.041,,-1.041,-1.041,,-1.041,,,-1.041,
2021,4572041,Danny Hughes,RB,Michigan,Big Ten,3,-1.036,-1.564,0.02,0.02,-0.352,,-1.378,-0.352,-3.108,-3.128,0.02,0.02,-0.352,,-2.757,-0.352
2021,4244308,Davion Johnson,RB,Miami (OH),Mid-American,8,-0.978,-1.61,-0.345,-1.033,-0.192,-0.332,-1.693,-0.262,-7.82,-6.44,-1.38,-3.098,-0.384,-0.665,-6.772,-1.049
2021,4875831,Mason Courtney,RB,Tulane,American Athletic,2,-0.977,,-0.977,,-0.396,-1.558,,-0.977,-1.954,,-1.954,,-0.396,-1.558,,-1.954
2021,4577303,Cade Ballard,QB,Army,FBS Independents,9,-0.97,-5.35,0.281,0.017,0.527,-0.214,0.163,-4.937,-8.732,-10.7,1.968,0.087,1.054,-0.214,1.141,-9.873
2021,4570217,James Phillips,RB,Hawai'i,Mountain West,5,-0.97,-0.821,-1.566,-1.206,0.223,-0.028,-1.682,0.097,-4.85,-3.285,-1.566,-2.412,0.223,-0.028,-5.045,0.195
2021,4361293,Thomas Pannunzio,WR,Colorado State,Mountain West,2,-0.964,,-0.964,-0.964,,,-0.964,,-1.928,,-1.928,-1.928,,,-1.928,
2021,4569927,Talmage Gunther,WR,BYU,FBS Independents,1,-0.957,-0.957,,-0.957,,,-0.957,,-0.957,-0.957,,-0.957,,,-0.957,
2021,4372756,Leo Albano,RB,Notre Dame,FBS Independents,1,-0.913,,-0.913,-0.913,,,-0.913,,-0.913,,-0.913,-0.913,,,-0.913,
2021,4430829,Michael Alaimo,QB,Purdue,Big Ten,1,-0.871,-0.871,,,,-0.871,,-0.871,-0.871,-0.871,,,,-0.871,,-0.871
2021,4362609,Akeem Hayes,WR,Arkansas State,Sun Belt,1,-0.871,-0.871,,-0.871,,,-0.871,,-0.871,-0.871,,-0.871,,,-0.871,
2021,4432663,Dylan Betts-Pauley,RB,Vanderbilt,SEC,2,-0.788,,-0.788,-0.703,-0.874,,-0.788,,-1.577,,-1.577,-0.703,-0.874,,-1.577,
2021,4431256,Cristian Dixon,WR,Michigan,Big Ten,3,-0.781,-0.781,,,0.463,-1.008,,-0.781,-2.344,-2.344,,,0.463,-1.008,,-2.344
2021,4682628,Trey Urwiler,WR,Northern Illinois,Mid-American,1,-0.78,-0.78,,,-0.78,,,-0.78,-0.78,-0.78,,,-0.78,,,-0.78
2021,4363072,Matthew Smith,WR,Western Kentucky,Conference USA,1,-0.779,-0.779,,-0.779,,,-0.779,,-0.779,-0.779,,-0.779,,,-0.779,
2021,4429415,Mikele Colasurdo,QB,Georgia State,Sun Belt,2,-0.767,-0.767,,-0.425,-1.109,,-0.767,,-1.534,-1.534,,-0.425,-1.109,,-1.534,
2021,4035576,T.J. Hammonds,RB,Arkansas,SEC,1,-0.754,,-0.754,,-0.754,,,-0.754,-0.754,,-0.754,,-0.754,,,-0.754
2021,4246890,Frank Boyd,RB,Liberty,FBS Independents,1,-0.741,,-0.741,-0.741,,,-0.741,,-0.741,,-0.741,-0.741,,,-0.741,
2021,4609151,Josh Edwards,RB,Arkansas State,Sun Belt,2,-0.739,,-0.739,-0.739,,,-0.739,,-1.479,,-1.479,-1.479,,,-1.479,
2021,4360177,Julon Williams,WR,UT San Antonio,Conference USA,2,-0.717,-0.717,,,-0.717,,-0.717,,-1.435,-1.435,,,-1.435,,-1.435,
2021,4578336,Isaiah Dunnuck,TE,Ball State,Mid-American,1,-0.703,-0.703,,-0.703,,,-0.703,,-0.703,-0.703,,-0.703,,,-0.703,
2021,4432396,Tucker Melton,QB,Bowling Green,Mid-American,5,-0.702,-0.702,,-0.752,-0.689,,-0.822,-0.219,-3.508,-3.508,,-0.752,-2.756,,-3.289,-0.219
2021,4427486,Micah Hilts,TE,Texas State,Sun Belt,1,-0.683,-0.683,,,,-0.683,,-0.683,-0.683,-0.683,,,,-0.683,,-0.683
2021,4570548,Naricuss Driver,TE,Southern Mississippi,Sun Belt,1,-0.68,,-0.68,-0.68,,,-0.68,,-0.68,,-0.68,-0.68,,,-0.68,
2021,4362538,Juma Otoviano,RB,Rice,Conference USA,2,-0.666,,-0.666,-0.687,-0.644,,-0.666,,-1.332,,-1.332,-0.687,-0.644,,-1.332,
2021,4361278,Raymond Niro III,RB,Northwestern,Big Ten,7,-0.665,-0.362,-1.423,-0.497,-1.939,-0.364,-0.806,0.179,-4.655,-1.81,-2.846,-1.988,-1.939,-0.728,-4.834,0.179
2021,4430757,Jayvaun Wilson,RB,UNLV,Mountain West,2,-0.662,,-0.662,,-0.662,,-0.662,,-1.324,,-1.324,,-1.324,,-1.324,
2021,4363005,Sheldon Jones,WR,UT San Antonio,Conference USA,2,-0.662,-0.662,,,0.448,,,-0.662,-1.325,-1.325,,,0.448,,,-1.325
2021,4687005,Natano Woods,QB,San José State,Mountain West,6,-0.654,-0.654,,-1.266,-0.549,-0.149,-1.266,-0.349,-3.927,-3.927,,-2.532,-1.097,-0.298,-2.532,-1.395
2021,4249961,Donavon Grier,WR,Georgia State,Sun Belt,3,-0.624,-0.624,,-0.425,-0.723,,-0.624,,-1.871,-1.871,,-0.425,-1.446,,-1.871,
2021,4430854,Collin Sullivan,WR,Purdue,Big Ten,4,-0.607,-0.607,,-0.663,,-0.438,-0.607,,-2.427,-2.427,,-1.99,,-0.438,-2.427,
2021,4360550,Derek Green,QB,SMU,American Athletic,6,-0.603,-0.618,-0.526,-0.699,-0.05,-0.735,-0.537,-0.735,-3.618,-3.091,-0.526,-2.097,-0.05,-1.471,-2.147,-1.471
2021,4426613,Dee Baker,RB,Southern Mississippi,Sun Belt,3,-0.603,,-0.603,,-0.503,-0.803,,-0.603,-1.809,,-1.809,,-1.006,-0.803,,-1.809
2021,4360321,Drew Swinney,WR,Clemson,ACC,2,-0.591,-0.591,,-0.591,,,-0.591,,-1.182,-1.182,,-1.182,,,-1.182,
2021,4698130,Phillip Cole,WR,Ohio,Mid-American,1,-0.587,,-0.587,-0.587,,,-0.587,,-0.587,,-0.587,-0.587,,,-0.587,
2021,4427125,Weston Eget,QB,New Mexico State,FBS Independents,14,-0.579,-0.856,0.435,-0.114,-1.171,-0.017,0.159,-0.781,-8.108,-9.412,1.304,-0.114,-4.685,-0.087,0.478,-8.586
2021,4686817,Drew Cassens,TE,Northern Illinois,Mid-American,1,-0.566,-0.566,,,,,,-0.566,-0.566,-0.566,,,,,,-0.566
2021,4432372,Mason Mangum,WR,California,Pac-12,1,-0.559,-0.559,,-0.559,,,-0.559,,-0.559,-0.559,,-0.559,,,-0.559,
2021,4575662,Isaiah Bravo,QB,UTEP,Conference USA,3,-0.558,,-0.558,-0.386,-0.407,-0.88,-0.558,,-1.673,,-1.673,-0.386,-0.407,-0.88,-1.673,
2021,4574571,Brent Matiscik,TE,TCU,Big 12,1,-0.554,,-0.554,,-0.554,,-0.554,,-0.554,,-0.554,,-0.554,,-0.554,
2021,4572792,Jordan Schippers,RB,Kansas State,Big 12,3,-0.553,,-0.553,-1.066,-0.296,,-1.066,-0.296,-1.658,,-1.658,-1.066,-0.593,,-1.066,-0.593
2021,4244721,Kevin Dominique,RB,Louisiana Tech,Conference USA,2,-0.54,,-0.54,-0.863,-0.217,,-0.54,,-1.079,,-1.079,-0.863,-0.217,,-1.079,
2021,4426856,Malik Caper,RB,Liberty,FBS Independents,2,-0.529,,-0.529,-0.167,-0.891,,-0.529,,-1.058,,-1.058,-0.167,-0.891,,-1.058,
2021,4568233,Jaylen Coleman,RB,Duke,ACC,8,-0.526,,-0.526,-0.658,-0.447,,-0.616,-0.376,-4.21,,-4.21,-1.974,-2.236,,-3.081,-1.128
2021,4680029,Keith Jackson,RB,North Texas,Conference USA,2,-0.525,,-0.525,-0.587,-0.463,,-0.587,-0.463,-1.05,,-1.05,-0.587,-0.463,,-0.587,-0.463
2021,4369468,Nate Kyei-Donkor,RB,Duke,ACC,9,-0.522,-0.526,-0.521,-0.655,-0.521,-0.324,-0.604,-0.419,-4.697,-1.052,-3.644,-1.965,-2.082,-0.649,-3.019,-1.678
2021,4432627,Tee Webb,QB,Southern Mississippi,Sun Belt,6,-0.512,-0.545,-0.344,-1.011,-0.394,-0.13,-1.011,-0.262,-3.07,-2.726,-0.344,-2.022,-0.787,-0.26,-2.022,-1.048
2021,4430845,Darvon Hubbard,RB,Texas A&M,SEC,2,-0.511,,-0.511,-0.639,-0.383,,-0.639,-0.383,-1.022,,-1.022,-0.639,-0.383,,-0.639,-0.383
2021,4568075,Juan Davis,TE,Texas,Big 12,2,-0.506,-0.617,-0.395,-0.395,-0.617,,-0.395,-0.617,-1.012,-0.617,-0.395,-0.395,-0.617,,-0.395,-0.617
2021,4684902,Ryan King,WR,Georgia Tech,ACC,3,-0.497,-0.497,,-0.277,,-0.936,-0.277,-0.936,-1.49,-1.49,,-0.554,,-0.936,-0.554,-0.936
2021,4586314,Bryce Stephens,WR,Arkansas,SEC,3,-0.495,-0.495,,0.403,-0.948,-0.939,0.403,-0.944,-1.485,-1.485,,0.403,-0.948,-0.939,0.403,-1.887
2021,4039258,Hunter Buczkowski,TE,Central Michigan,Mid-American,3,-0.485,-0.485,,0.134,0.408,,0.134,-0.794,-1.455,-1.455,,0.134,0.408,,0.134,-1.588
2021,4690302,Isaiah Gash,RB,Michigan,Big Ten,6,-0.484,,-0.484,-0.432,-0.169,,-0.327,-1.27,-2.905,,-2.905,-1.297,-0.338,,-1.635,-1.27
2021,4695488,Taequan Tyler,RB,Boise State,Mountain West,11,-0.477,,-0.477,-0.047,-1.251,-0.419,-0.349,-0.818,-5.245,,-5.245,-0.235,-3.752,-1.258,-2.79,-2.454
2021,4431066,Harlan Dixon,RB,Louisiana Tech,Conference USA,18,-0.462,-0.293,-0.484,-0.65,-0.256,0.041,-0.592,-0.126,-8.323,-0.586,-7.737,-5.203,-1.278,0.163,-7.695,-0.629
2021,4570581,Hunter Salmon,TE,Tennessee,SEC,3,-0.46,-0.46,,-0.161,-0.833,-0.387,-0.161,-0.61,-1.38,-1.38,,-0.161,-0.833,-0.387,-0.161,-1.22
2021,4875380,Winston Eubanks,WR,Penn State,Big Ten,1,-0.455,-0.455,,-0.455,,,-0.455,,-0.455,-0.455,,-0.455,,,-0.455,
2021,4428235,AJ Phillips,RB,South Alabama,Sun Belt,7,-0.444,-0.514,-0.432,-0.684,-0.323,-0.384,-0.656,-0.161,-3.105,-0.514,-2.591,-1.369,-0.969,-0.767,-2.624,-0.482
2021,4246919,Tyron Staples,RB,Liberty,FBS Independents,1,-0.443,,-0.443,,,-0.443,,-0.443,-0.443,,-0.443,,,-0.443,,-0.443
2021,4699783,Lucky Avinger,RB,San Diego State,Mountain West,3,-0.441,,-0.441,,-0.157,-1.01,-0.014,-0.655,-1.324,,-1.324,,-0.313,-1.01,-0.014,-1.31
2021,4686274,Jordan Lowe,RB,Toledo,Mid-American,3,-0.438,,-0.438,-0.789,0.264,,-0.438,,-1.314,,-1.314,-1.578,0.264,,-1.314,
2021,4431142,Jimmy Holiday,WR,Tennessee,SEC,3,-0.437,-0.437,,0.073,-0.409,-0.975,0.073,-0.692,-1.312,-1.312,,0.073,-0.409,-0.975,0.073,-1.384
2021,4240098,Erin Collins,RB,Northern Illinois,Mid-American,6,-0.433,,-0.433,-0.533,-0.033,-0.935,-0.489,-0.154,-2.599,,-2.599,-1.599,-0.066,-0.935,-2.446,-0.154
2021,4432767,Preston Stone,QB,SMU,American Athletic,8,-0.429,-0.467,-0.166,-0.319,0.044,0.908,-1.058,0.62,-3.432,-3.266,-0.166,-1.275,0.044,1.816,-5.292,1.86
2021,4433847,Griffin Little,TE,Bowling Green,Mid-American,2,-0.429,-0.429,,,-0.429,,-0.638,-0.219,-0.857,-0.857,,,-0.857,,-0.638,-0.219
2021,4429632,Konner Fox,TE,Kansas State,Big 12,1,-0.428,-0.428,,-0.428,,,-0.428,,-0.428,-0.428,,-0.428,,,-0.428,
2021,4689352,Brodie King,WR,Mississippi State,SEC,3,-0.423,-0.423,,-0.658,0.047,,-0.658,0.047,-1.268,-1.268,,-1.315,0.047,,-1.315,0.047
2021,4360973,Trad Beatty,QB,Georgia Tech,ACC,1,-0.416,,-0.416,,,-0.416,,-0.416,-0.416,,-0.416,,,-0.416,,-0.416
2021,4686359,Shaun Grayson,TE,UNLV,Mountain West,4,-0.416,-0.416,,0.46,-0.696,-0.732,0.46,-0.708,-1.663,-1.663,,0.46,-1.391,-0.732,0.46,-2.123
2021,4429777,Jacob Freeman,WR,Georgia State,Sun Belt,1,-0.406,-0.406,,-0.406,,,-0.406,,-0.406,-0.406,,-0.406,,,-0.406,
2021,4875209,Andison Coby,WR,Tennessee,SEC,3,-0.406,-0.406,,0.105,-0.661,,-0.406,,-1.218,-1.218,,0.105,-1.322,,-1.218,
2021,4570471,Kanoa Shannon,RB,Oregon State,Pac-12,2,-0.405,,-0.405,-0.216,-0.593,,-0.405,,-0.809,,-0.809,-0.216,-0.593,,-0.809,
2021,4426373,Marcel Brooks,WR,TCU,Big 12,2,-0.404,-0.404,,-1.125,0.317,,-1.125,0.317,-0.808,-0.808,,-1.125,0.317,,-1.125,0.317
2021,4427634,Keegan Jones,RB,UCLA,Pac-12,27,-0.404,1.402,-0.549,-0.418,-0.397,0.393,-0.298,-0.537,-10.91,2.805,-13.715,-4.182,-3.972,1.964,-4.47,-6.441
2021,4613050,Quentin Skinner,WR,Kansas,Big 12,1,-0.403,-0.403,,-0.403,,,-0.403,,-0.403,-0.403,,-0.403,,,-0.403,
2021,4682627,Darez Snider,RB,Miami (OH),Mid-American,3,-0.403,,-0.403,-0.529,-0.34,,-0.24,-0.729,-1.209,,-1.209,-0.529,-0.68,,-0.48,-0.729
2021,4427839,Bryson Lucero,QB,UAB,Conference USA,1,-0.399,,-0.399,,,-0.399,,-0.399,-0.399,,-0.399,,,-0.399,,-0.399
2021,4036650,Shai Werts,WR,Louisville,ACC,8,-0.393,-0.096,-1.286,-0.089,-0.729,-0.025,-0.304,-0.482,-3.145,-0.573,-2.572,-0.177,-2.918,-0.049,-1.217,-1.928
2021,4708487,Jaquez Moore,RB,Duke,ACC,5,-0.393,,-0.393,-0.406,-0.343,,-0.393,,-1.966,,-1.966,-1.623,-0.343,,-1.966,
2021,4608772,Brian Brewton,RB,Connecticut,FBS Independents,17,-0.392,-0.533,-0.133,-0.455,-0.144,-1.243,-0.398,-0.347,-6.661,-5.861,-0.8,-4.554,-0.864,-1.243,-5.966,-0.695
2021,4697122,Gaston Moore,QB,Tennessee,SEC,2,-0.391,-0.391,,,-0.396,-0.387,,-0.391,-0.782,-0.782,,,-0.396,-0.387,,-0.782
2021,4429513,Dylan Deveney,TE,Georgia Tech,ACC,5,-0.386,-0.386,,-0.242,,-0.015,-1.376,1.099,-1.931,-1.931,,-0.242,,-0.029,-4.129,2.198
2021,4362293,Adam Beale,WR,Toledo,Mid-American,2,-0.384,-0.384,,-0.015,-0.752,,-0.384,,-0.767,-0.767,,-0.015,-0.752,,-0.767,
2021,4242179,Maleek Williams,RB,Florida International,Conference USA,2,-0.383,,-0.383,-0.453,-0.313,,-0.453,-0.313,-0.765,,-0.765,-0.453,-0.313,,-0.453,-0.313
2021,4240025,Bailey Hockman,QB,Middle Tennessee,Conference USA,14,-0.383,-0.383,,0.068,-0.666,-0.775,0.107,-0.872,-5.359,-5.359,,0.405,-2.664,-3.1,0.746,-6.105
2021,4571649,Amari Terry,WR,Air Force,Mountain West,2,-0.38,,-0.38,,-0.38,,-0.617,-0.143,-0.76,,-0.76,,-0.76,,-0.617,-0.143
2021,4686940,Donny Marcus,RB,Ball State,Mid-American,21,-0.379,-0.316,-0.394,-0.401,-0.434,-0.14,-0.439,-0.3,-7.967,-1.264,-6.703,-3.208,-4.34,-0.419,-5.266,-2.701
2021,4035770,Jack Dunn,WR,Wisconsin,Big Ten,11,-0.371,-0.283,-0.604,-0.539,0.637,-0.371,-0.591,0.015,-4.08,-2.267,-1.813,-3.234,0.637,-1.483,-4.139,0.059
2021,4683314,Xavier Coleman,RB,Boston College,ACC,8,-0.368,-0.277,-0.398,-0.223,-0.61,,-0.379,-0.292,-2.946,-0.555,-2.391,-1.114,-1.831,,-2.654,-0.292
2021,4568530,Mike Mauai,RB,Navy,American Athletic,2,-0.357,,-0.357,-0.241,,-0.473,-0.357,,-0.714,,-0.714,-0.241,,-0.473,-0.714,
2021,4567058,Leo Kelly,QB,Wake Forest,ACC,4,-0.354,-0.42,-0.155,-1.143,0.303,-0.878,-1.01,0.303,-1.415,-1.259,-0.155,-1.143,0.606,-0.878,-2.021,0.606
2021,4431485,Leshon Williams,RB,Iowa,Big Ten,21,-0.354,,-0.354,-0.196,-0.046,-0.311,-0.434,-0.223,-7.426,,-7.426,-1.763,-0.274,-1.244,-5.643,-1.783
2021,4427251,Velton Gardner,RB,Kansas,Big 12,32,-0.344,-1.455,-0.23,-0.352,-0.219,-0.12,-0.469,-0.138,-11.024,-4.365,-6.659,-4.223,-3.067,-0.6,-9.371,-1.653
2021,4241407,Braydon Johnson,WR,Oklahoma State,Big 12,6,-0.343,-0.637,1.125,-0.197,-1.004,-0.268,-0.359,-0.268,-2.061,-3.185,1.125,-0.789,-1.004,-0.268,-1.793,-0.268
2021,4242158,Chase Hayden,RB,Illinois,Big Ten,4,-0.341,,-0.341,-0.653,-0.029,,-0.478,0.07,-1.363,,-1.363,-1.306,-0.057,,-1.433,0.07
2021,4431325,Taylen Green,QB,Boise State,Mountain West,5,-0.339,-0.614,-0.27,-0.295,-0.196,-0.614,-0.295,-0.405,-1.693,-0.614,-1.079,-0.884,-0.196,-0.614,-0.884,-0.809
2021,4569325,Dezmon Jackson,RB,Oklahoma State,Big 12,40,-0.32,-0.094,-0.377,-0.353,-0.277,0.486,-0.405,0.082,-12.808,-0.75,-12.058,-7.415,-3.607,2.428,-13.381,0.573
2021,4365322,Isaiah Phillips,RB,Louisiana Monroe,Sun Belt,14,-0.32,-0.141,-0.334,-0.358,-0.588,0.048,-0.285,-0.529,-4.481,-0.141,-4.34,-2.862,-1.763,0.143,-3.424,-1.057
2021,4568670,Josh Henderson,RB,North Carolina,ACC,5,-0.32,,-0.32,-0.288,-0.448,,-0.288,-0.448,-1.601,,-1.601,-1.152,-0.448,,-1.152,-0.448
2021,4694149,Walker Eget,QB,San José State,Mountain West,8,-0.316,-0.316,,-0.577,0.048,-0.158,-0.577,-0.055,-2.526,-2.526,,-2.308,0.097,-0.315,-2.308,-0.218
2021,4613125,Bobby Wooden,RB,New Mexico,Mountain West,28,-0.316,0.053,-0.439,-0.321,-0.367,-0.118,-0.333,-0.273,-8.841,0.369,-9.21,-4.815,-3.673,-0.353,-6.66,-2.182
2021,4569663,Justin Johnson,RB,West Virginia,Big 12,19,-0.315,-0.003,-0.374,0.082,-0.281,0.593,-0.315,-0.316,-5.989,-0.008,-5.982,0.656,-1.404,2.371,-4.096,-1.893
2021,4575457,Pailate Makakona,RB,Utah State,Mountain West,35,-0.314,0.845,-0.348,-0.282,-0.45,-0.091,-0.351,-0.188,-10.979,0.845,-11.824,-6.205,-4.502,-0.273,-9.474,-1.506
2021,4430126,Knowledge McDaniel,RB,Marshall,Sun Belt,5,-0.312,,-0.312,0.046,-0.85,,0.162,-2.209,-1.561,,-1.561,0.139,-1.7,,0.648,-2.209
2021,4696315,Will Taylor,QB,Clemson,ACC,7,-0.31,-0.389,-0.278,-0.048,-0.574,0.228,-0.194,-0.464,-2.167,-0.778,-1.388,-0.097,-2.297,0.228,-0.775,-1.391
2021,4612246,Sahmir Hagans,WR,Duke,ACC,2,-0.308,-0.308,,,0.098,-0.713,0.098,-0.713,-0.615,-0.615,,,0.098,-0.713,0.098,-0.713
2021,4570743,Santino Marucci,QB,Wake Forest,ACC,1,-0.304,,-0.304,,,-0.304,-0.304,,-0.304,,-0.304,,,-0.304,-0.304,
2021,4689978,Jalen Montgomery,RB,Middle Tennessee,Conference USA,1,-0.298,,-0.298,-0.298,,,-0.298,,-0.298,,-0.298,-0.298,,,-0.298,
2021,4240711,Todd Sibley Jr.,RB,Pittsburgh,ACC,3,-0.296,,-0.296,-0.099,-0.475,-0.315,-0.287,-0.315,-0.889,,-0.889,-0.099,-0.475,-0.315,-0.574,-0.315
2021,4429578,Luca Diamont,QB,Duke,ACC,3,-0.293,-1.725,2.573,2.573,-0.755,,2.573,-1.725,-0.878,-3.451,2.573,2.573,-0.755,,2.573,-3.451
2021,4597679,Luke Altmyer,QB,Ole Miss,SEC,57,-0.287,-0.362,0.025,-0.396,-0.055,-0.674,-0.164,-0.423,-16.363,-16.637,0.274,-6.725,-1.093,-10.104,-4.93,-11.433
2021,4692679,Deondre Jackson,RB,Texas A&M,SEC,1,-0.286,,-0.286,-0.286,,,-0.286,,-0.286,,-0.286,-0.286,,,-0.286,
