season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4692557,Dee Beckwith,RB,Tennessee,SEC,1,-1.514,,-1.514,,,,,-1.514,-1.514,,-1.514,,,,,-1.514
2021,4372000,John Stephen Jones,QB,Arkansas,SEC,1,-1.041,-1.041,,-1.041,,,-1.041,,-1.041,-1.041,,-1.041,,,-1.041,
2021,4432663,Dylan Betts-Pauley,RB,Vanderbilt,SEC,2,-0.788,,-0.788,-0.703,-0.874,,-0.788,,-1.577,,-1.577,-0.703,-0.874,,-1.577,
2021,4035576,T.J. Hammonds,RB,Arkansas,SEC,1,-0.754,,-0.754,,-0.754,,,-0.754,-0.754,,-0.754,,-0.754,,,-0.754
2021,4430845,Darvon Hubbard,RB,Texas A&M,SEC,2,-0.511,,-0.511,-0.639,-0.383,,-0.639,-0.383,-1.022,,-1.022,-0.639,-0.383,,-0.639,-0.383
2021,4586314,Bryce Stephens,WR,Arkansas,SEC,3,-0.495,-0.495,,0.403,-0.948,-0.939,0.403,-0.944,-1.485,-1.485,,0.403,-0.948,-0.939,0.403,-1.887
2021,4570581,Hunter Salmon,TE,Tennessee,SEC,3,-0.46,-0.46,,-0.161,-0.833,-0.387,-0.161,-0.61,-1.38,-1.38,,-0.161,-0.833,-0.387,-0.161,-1.22
2021,4431142,Jimmy Holiday,WR,Tennessee,SEC,3,-0.437,-0.437,,0.073,-0.409,-0.975,0.073,-0.692,-1.312,-1.312,,0.073,-0.409,-0.975,0.073,-1.384
2021,4689352,Brodie King,WR,Mississippi State,SEC,3,-0.423,-0.423,,-0.658,0.047,,-0.658,0.047,-1.268,-1.268,,-1.315,0.047,,-1.315,0.047
2021,4875209,Andison Coby,WR,Tennessee,SEC,3,-0.406,-0.406,,0.105,-0.661,,-0.406,,-1.218,-1.218,,0.105,-1.322,,-1.218,
